date,INDPRO,RECESSION
01/01/1959,21.9616,0
02/01/1959,22.3917,0
03/01/1959,22.7142,0
04/01/1959,23.1981,0
05/01/1959,23.5476,0
06/01/1959,23.5744,0
07/01/1959,23.0099,0
08/01/1959,22.2304,0
09/01/1959,22.2035,0
10/01/1959,22.0422,0
11/01/1959,22.1766,0
12/01/1959,23.5475,0
01/01/1960,24.1658,0
02/01/1960,23.9508,0
03/01/1960,23.7357,0
04/01/1960,23.5476,0
05/01/1960,23.5207,1
06/01/1960,23.225,1
07/01/1960,23.1443,1
08/01/1960,23.1175,1
09/01/1960,22.8755,1
10/01/1960,22.8487,1
11/01/1960,22.5261,1
12/01/1960,22.096,1
01/01/1961,22.1229,1
02/01/1961,22.096,1
03/01/1961,22.2304,0
04/01/1961,22.6874,0
05/01/1961,23.0368,0
06/01/1961,23.3594,0
07/01/1961,23.6282,0
08/01/1961,23.8432,0
09/01/1961,23.8164,0
10/01/1961,24.2733,0
11/01/1961,24.6497,0
12/01/1961,24.8647,0
01/01/1962,24.6496,0
02/01/1962,25.0529,0
03/01/1962,25.1873,0
04/01/1962,25.241,0
05/01/1962,25.2141,0
06/01/1962,25.1604,0
07/01/1962,25.4023,0
08/01/1962,25.4292,0
09/01/1962,25.5905,0
10/01/1962,25.6174,0
11/01/1962,25.7249,0
12/01/1962,25.7249,0
01/01/1963,25.913,0
02/01/1963,26.2088,0
03/01/1963,26.37,0
04/01/1963,26.612,0
05/01/1963,26.9345,0
06/01/1963,27.0152,0
07/01/1963,26.9076,0
08/01/1963,26.9614,0
09/01/1963,27.2302,0
10/01/1963,27.4184,0
11/01/1963,27.5528,0
12/01/1963,27.499,0
01/01/1964,27.7409,0
02/01/1964,27.9291,0
03/01/1964,27.9291,0
04/01/1964,28.3861,0
05/01/1964,28.5474,0
06/01/1964,28.628,0
07/01/1964,28.8162,0
08/01/1964,29.0043,0
09/01/1964,29.1119,0
10/01/1964,28.7087,0
11/01/1964,29.5957,0
12/01/1964,29.9452,0
01/01/1965,30.2677,0
02/01/1965,30.4559,0
03/01/1965,30.8591,0
04/01/1965,30.9935,0
05/01/1965,31.2354,0
06/01/1965,31.4774,0
07/01/1965,31.7731,0
08/01/1965,31.9075,0
09/01/1965,31.9881,0
10/01/1965,32.3107,0
11/01/1965,32.4451,0
12/01/1965,32.8483,0
01/01/1966,33.1709,0
02/01/1966,33.3859,0
03/01/1966,33.8429,0
04/01/1966,33.8967,0
05/01/1966,34.2192,0
06/01/1966,34.3805,0
07/01/1966,34.5687,0
08/01/1966,34.5955,0
09/01/1966,34.9181,0
10/01/1966,35.16,0
11/01/1966,34.9181,0
12/01/1966,34.9987,0
01/01/1967,35.1638,0
02/01/1967,34.765,0
03/01/1967,34.5691,0
04/01/1967,34.8951,0
05/01/1967,34.5907,0
06/01/1967,34.5863,0
07/01/1967,34.5076,0
08/01/1967,35.1687,0
09/01/1967,35.1116,0
10/01/1967,35.3976,0
11/01/1967,35.9038,0
12/01/1967,36.2905,0
01/01/1968,36.2514,0
02/01/1968,36.3813,0
03/01/1968,36.4949,0
04/01/1968,36.5477,0
05/01/1968,36.9577,0
06/01/1968,37.0934,0
07/01/1968,37.0366,0
08/01/1968,37.1399,0
09/01/1968,37.2806,0
10/01/1968,37.3546,0
11/01/1968,37.8378,0
12/01/1968,37.9573,0
01/01/1969,38.1869,0
02/01/1969,38.4313,0
03/01/1969,38.7326,0
04/01/1969,38.5901,0
05/01/1969,38.4443,0
06/01/1969,38.8198,0
07/01/1969,39.0248,0
08/01/1969,39.1145,0
09/01/1969,39.1057,0
10/01/1969,39.1171,0
11/01/1969,38.7484,0
12/01/1969,38.6444,0
01/01/1970,37.9288,1
02/01/1970,37.9038,1
03/01/1970,37.8546,1
04/01/1970,37.7573,1
05/01/1970,37.7133,1
06/01/1970,37.5913,1
07/01/1970,37.6836,1
08/01/1970,37.6164,1
09/01/1970,37.3571,1
10/01/1970,36.6098,1
11/01/1970,36.3881,1
12/01/1970,37.2237,0
01/01/1971,37.5101,0
02/01/1971,37.4386,0
03/01/1971,37.398,0
04/01/1971,37.608,0
05/01/1971,37.7989,0
06/01/1971,37.9574,0
07/01/1971,37.8472,0
08/01/1971,37.6276,0
09/01/1971,38.2391,0
10/01/1971,38.5253,0
11/01/1971,38.6888,0
12/01/1971,39.1355,0
01/01/1972,40.0728,0
02/01/1972,40.4789,0
03/01/1972,40.761,0
04/01/1972,41.1654,0
05/01/1972,41.1693,0
06/01/1972,41.2778,0
07/01/1972,41.2389,0
08/01/1972,41.805,0
09/01/1972,42.1288,0
10/01/1972,42.6703,0
11/01/1972,43.1755,0
12/01/1972,43.6617,0
01/01/1973,43.9783,0
02/01/1973,44.6103,0
03/01/1973,44.6294,0
04/01/1973,44.568,0
05/01/1973,44.8608,0
06/01/1973,44.9186,0
07/01/1973,45.085,0
08/01/1973,45.0221,0
09/01/1973,45.3801,0
10/01/1973,45.7462,0
11/01/1973,45.9548,0
12/01/1973,45.8252,1
01/01/1974,45.5207,1
02/01/1974,45.3825,1
03/01/1974,45.3798,1
04/01/1974,45.247,1
05/01/1974,45.6083,1
06/01/1974,45.5216,1
07/01/1974,45.6136,1
08/01/1974,45.1303,1
